"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"7092005",2,"1","N","M",39,"A","-","S","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"E",2015,"GMC","D","22",,"H",,"-","-",2015
"7092005",1,"2","Y","F",56,"D","-","E","-","-","O","-","3","-","-","-",0,,"N","-",0,1,"-",0,"-","N","60",,"W",,"-","-",2015
"7092001",2,"1","N","F",33,"A","-","N","M","G","Y","-","3","-","-","-",0,,"N","-",0,1,"B",2010,"TOYOTA","A","01",,"A",,"-","-",2015
"7092001",1,"1","Y","M",51,"A","-","S","M","G","Y","-","3","-","-","-",0,,"N","-",0,1,"E",1999,"FORD","D","22",,"W",,"-","-",2015
"7091917",1,"1","Y","F",22,"B","-","N","M","C","Y","-","1","-",,"31",22107,,"A","F",0,1,"C",2006,"CHEVROLET","A","01",,"W","-","-","-",2015
"7091912",1,"1","Y","F",27,"B","-","N","L","G",,"-","3","-","-","-",0,,"N","-",0,2,"B",2007,"LEXUS","A","01",,"A",,"-","-",2015
"7091905",2,"1","Y","M",18,"A","-","W","L","G","Y","-","3","-","-","-",0,,"N","-",0,2,"B",2005,"VOLKSWAGEN","A","01",,"W",,"-","-",2015
"7091905",1,"1","N","F",24,"A","-","S","L","G","Y","-","3","-","-","-",0,,"L","-",0,1,"E",2011,"LEXUS","A","01",,"W",,"-","-",2015
"7091904",2,"1","N","F",57,"A","-","E","M","G","Y","-","3","-","-","-",0,,"N","-",0,1,"B",2012,"TOYOTA","A","07",,"W",,"-","-",2015
"7091904",1,"1","Y","M",17,"A","-","E","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"H",1990,"NISSAN","A","01",,"W",,"-","-",2015
"7091901",4,"1","N","M",41,"A","-","W","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"B",2012,"VOLKSWAGEN","A","01",,"O",,"-","-",2015
"7091901",3,"1","N","F",55,"A","-","W","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"B",2004,"ACURA","A","07",,"W",,"-","-",2015
